RS,TAZ
2332,2332
2333,2333
2334,2334
2335,2335
2336,2336
2337,2337
2338,2338
2339,2339
2340,2340
2341,2341
2342,2342
2343,2343
2344,2344
2345,2345
2346,2346
2347,2347
2348,2348
2349,2349
2350,2350
2351,2351
2352,2352
2353,2353
2354,2354
2355,2355
2356,2356
2357,2357
2358,2358
2359,2359
2360,2360
2361,2361
2362,2362
2363,2363
2364,2364
2365,2365
2366,2366
2367,2367
2368,2368
2369,2369
2370,2370
2371,2371
2372,2372
2373,2373
2374,2374
2375,2375
2376,2376
2377,2377
2378,2378
2379,2379
2380,2380
2381,2381
2382,2382
2383,2383
2384,2384
2385,2385
2386,2386
2387,2387
2388,2388
2389,2389
2390,2390
2391,2391
2392,2392
2393,2393
2394,2394
2395,2395
2396,2396
2397,2397
2398,2398
2399,2399
2400,2400
2401,2401
2402,2402
2403,2403
2404,2404
2405,2405
2406,2406
2407,2407
2408,2408
2409,2409
2410,2410
2411,2411
2412,2412
2413,2413
2414,2414
2415,2415
2416,2416
2417,2417
2418,2418
2419,2419
2420,2420
2421,2421
2422,2422
2423,2423
2424,2424
2425,2425
2426,2426
2427,2427
2428,2428
2429,2429
2430,2430
2431,2431
2432,2432
2433,2433
2434,2434
2435,2435
2436,2436
2437,2437
2438,2438
2439,2439
2440,2440
2441,2441
2442,2442
2443,2443
2444,2444
2445,2445
2446,2446
2447,2447
2448,2448
2449,2449
2450,2450
2451,2451
2452,2452
2453,2453
2454,2454
2455,2455
2456,2456
2457,2457
2458,2458
2459,2459
2460,2460
2461,2461
2462,2462
2463,2463
2464,2464
2465,2465
2466,2466
2467,2467
2468,2468
2469,2469
2470,2470
2471,2471
2472,2472
2473,2473
2474,2474
2475,2475
2476,2476
2477,2477
2478,2478
2479,2479
2480,2480
2481,2481
2482,2482
2483,2483
2484,2484
2485,2485
2486,2486
2487,2487
2488,2488
2489,2489
2490,2490
2491,2491
2492,2492
2493,2493
2494,2494
2495,2495
2496,2496
2497,2497
2498,2498
2499,2499
2500,2500
2501,2501
2502,2502
2503,2503
2504,2504
2505,2505
2506,2506
2507,2507
2508,2508
2509,2509
2510,2510
2511,2511
2512,2512
2513,2513
2514,2514
2515,2515
2516,2516
2517,2517
2518,2518
2519,2519
2520,2520
2521,2521
2522,2522
2523,2523
2524,2524
2525,2525
2526,2526
2527,2527
2528,2528
2529,2529
2530,2530
2531,2531
2532,2532
2533,2533
2534,2534
2535,2535
2536,2536
2537,2537
2538,2538
2539,2539
2540,2540
2541,2541
2542,2542
3002,813
3003,958
3004,1654
3006,427
3009,10835
3010,1079
3011,761
3013,1668
3014,1521
3015,448
3018,1447
3021,811
3022,1065
3023,1009
3024,995
3025,1200
3026,1628
3027,1613
3028,1638
3030,1124
3031,1184
3032,1119
3033,1152
3034,1375
3035,1451
3036,1432
3037,1652
3039,250
3040,635
3041,619
3042,11918
3043,11864
3044,11437
3045,801
3046,931
3047,706
3049,980
3053,1264
3054,1291
3055,1538
3056,1686
3057,480
3058,494
3059,1706
3060,1702
3062,1015
3063,1019
3064,1191
3065,1655
3066,1633
3067,1654
3068,1363
3069,435
3070,429
3071,1465
3072,1495
3075,264
3076,627
3077,11513
3078,11617
3079,10539
3080,873
3081,879
3082,928
3083,746
3084,748
3085,972
3086,1054
3088,1664
3089,1328
3090,1338
3091,1526
3092,447
3093,457
3094,1701
3096,1715
3098,1392
3099,1388
3100,1452
3101,1448
3102,1464
3107,11774
3108,11454
3109,11590
3110,845
3111,859
3112,1071
3113,784
3114,978
3115,991
3116,327
3117,320
3118,344
3119,1036
3120,1052
3121,1062
3122,1595
3123,1603
3124,1633
3125,1609
3126,1545
3127,1635
3128,1613
3129,1638
3130,1638
3132,389
3133,1123
3134,1173
3135,1177
3136,1386
3137,1109
3138,1099
3139,1133
3140,407
3141,1224
3142,962
3143,1166
3144,1323
3145,1516
3146,1398
3147,1406
3148,1485
3149,1418
3150,1616
3151,1643
3152,1653
3153,525
3154,524
3155,533
3156,532
3157,588
3158,543
3159,569
3160,611
3161,257
3162,11725
3163,11637
3164,580
3165,643
3166,658
3167,670
3168,655
3169,698
3170,11992
3171,735
3172,268
3173,10418
3174,11269
3175,11794
3176,11837
3177,772
3178,905
3179,371
3180,375
3181,945
3182,654
3185,1237
3186,1246
3187,1267
3188,1213
3189,1215
3190,1300
3191,1340
3192,1308
3193,1359
3194,1680
3195,1690
3196,1697
3197,494
3200,509
3201,503
3202,510
3203,1013
3204,1025
3205,1194
3206,1368
3207,440
3208,427
3209,10771
3210,10205
3211,10504
3212,891
3213,898
3214,899
3215,761
3216,751
3217,757
3218,1656
3219,1657
3220,1664
3221,1509
3222,1524
3223,1531
3224,448
3225,449
3226,1699
3227,1396
3228,1443
3229,1448
3230,811
3231,11557
3232,809
3233,1065
3234,1064
3235,1068
3236,793
3237,986
3238,1005
3239,1002
3240,329
3241,344
3242,1036
3243,1056
3244,1201
3245,1625
3246,1631
3247,1631
3248,1613
3249,1605
3250,1637
3252,380
3253,1124
3254,1182
3255,1181
3256,1184
3257,1117
3258,1098
3259,1137
3260,414
3261,1152
3262,969
3263,1504
3264,1508
3265,1564
3266,1416
3267,1417
3268,1468
3269,1431
3270,1429
3271,1644
3272,549
3273,598
3274,606
3275,630
3276,622
3277,12024
3278,583
3279,578
3280,613
3281,673
3282,682
3283,11920
3284,11908
3285,11901
3286,265
3287,11415
3288,11318
3289,11811
3290,796
3291,778
3292,794
3293,364
3294,347
3295,363
3298,715
3299,1251
3300,1249
3301,1270
3302,1285
3303,1217
3304,1281
3305,1352
3306,1348
3307,1349
3308,1680
3309,1688
3310,466
3311,508
3312,1707
3313,1707
3314,1010
3315,1008
3316,1015
3317,1012
3318,1012
3319,1035
3320,1022
3321,1023
3322,1187
3323,520
3324,1633
3325,1654
3326,1142
3327,1143
3328,437
3329,1150
3330,1160
3331,1164
3332,438
3333,1372
3334,1374
3335,1450
3336,1471
3337,1481
3338,1476
3339,1496
3340,1499
3341,594
3342,251
3343,264
3344,627
3345,627
3346,636
3347,11478
3348,11469
3349,10268
3350,11596
3351,12010
3352,11999
3353,10946
3354,11081
3355,11204
3356,871
3357,870
3358,875
3359,877
3360,907
3361,909
3362,915
3363,913
3364,931
3365,717
3366,723
3367,749
3368,756
3369,754
3370,980
3371,1328
3372,1328
3373,1330
3374,1268
3375,1278
3376,1333
3377,1338
3378,1333
3379,1541
3380,454
3381,468
3382,450
3383,468
3384,493
3385,471
3386,459
3387,459
3388,459
3389,1712
3390,1713
3392,1390
3393,1390
3394,1394
3395,1387
3396,1402
3397,1402
3398,1442
3399,1440
3400,1453
3401,1454
3402,1464
3403,1466
3405,640
3406,11775
3408,11777
3409,812
3410,637
3411,11742
3412,11768
3413,11452
3414,11463
3415,10394
3416,11562
3417,11576
3418,11582
3419,813
3420,831
3421,842
3422,853
3423,855
3424,858
3425,866
3426,863
3427,1075
3428,764
3429,971
3430,987
3431,977
3432,979
3433,997
3434,988
3435,988
3436,1012
3437,982
3438,982
3439,326
3443,334
3444,339
3445,345
3446,1030
3447,1045
3448,1046
3449,1048
3450,1044
3451,1054
3452,1058
3453,1059
3454,1057
3455,1532
3456,1533
3457,1600
3458,1535
3459,1607
3460,1607
3461,1630
3462,1612
3463,1613
3464,1537
3465,1548
3466,1550
3467,1358
3468,1362
3469,1553
3470,1561
3471,1557
3472,1708
3473,1637
3474,1634
3475,1634
3476,1067
3477,396
3478,386
3479,391
3480,1083
3481,1108
3482,380
3483,1113
3484,1128
3485,1180
3486,1176
3487,1385
3488,1082
3489,1085
3490,1093
3491,930
3492,930
3493,1096
3494,1103
3495,1107
3496,1154
3497,935
3498,403
3499,412
3500,950
3501,959
3502,1223
3503,960
3504,1260
3505,1266
3506,1165
3507,1318
3508,1321
3509,1319
3510,1266
3511,1317
3512,1517
3513,1513
3514,1522
3515,1400
3516,1400
3517,1409
3518,1405
3519,1381
3520,1421
3521,1407
3522,1438
3523,1486
3524,1376
3525,1566
3526,1419
3527,1570
3528,1583
3529,1590
3530,1617
3531,1594
3532,515
3533,1640
3534,1646
3535,1652
3536,1642
3537,523
3538,524
3539,533
3540,540
3541,545
3542,545
3543,547
3544,592
3545,552
3546,311
3547,313
3548,302
3549,573
3550,564
3551,596
3552,582
3553,610
3554,242
3555,11700
3556,11729
3557,11686
3558,11690
3559,11716
3560,11622
3561,10685
3562,10898
3563,573
3564,575
3565,577
3566,576
3567,645
3568,643
3569,668
3570,665
3571,663
3572,648
3573,653
3574,656
3575,653
3576,654
3577,654
3578,678
3579,692
3580,708
3581,11966
3582,701
3583,730
3584,699
3585,710
3586,291
3587,740
3588,295
3589,280
3590,10109
3591,10639
3592,11351
3593,10608
3594,11205
3595,11847
3596,11295
3597,11311
3598,821
3599,11889
3600,11871
3601,768
3602,766
3603,763
3604,781
3605,777
3606,789
3607,901
3608,806
3609,370
3610,371
3611,369
3612,917
3613,925
3614,943
3615,956
3616,952
3617,1236
3618,1229
3619,1248
3620,1226
3621,1186
3622,1254
3623,1257
3624,1273
3625,1277
3626,1204
3627,1197
3628,1196
3629,1198
3630,1671
3631,1673
3632,1219
3633,1684
3634,1312
3635,1292
3636,1302
3637,1341
3638,1304
3639,1303
3640,447
3641,1355
3642,446
3643,1362
3644,1666
3645,1666
3646,1689
3647,1690
3648,1693
3649,1693
3650,1692
3651,1695
3652,491
3653,479
3654,497
3655,495
3656,1362
3657,1703
3658,501
3659,1702
3660,1702
3661,499
3662,510
3663,499
3665,10803
3666,10211
3667,10170
3668,1661
3669,1664
3670,1659
3671,1003
3672,1003
3673,1028
3674,1502
3675,1507
3676,1375
3677,628
3678,632
3679,635
3680,615
3681,613
3682,620
3683,671
3684,676
3685,11919
3686,11135
3687,11915
3688,11866
3689,11434
3690,11435
3691,11813
3692,802
3693,797
3694,802
3695,365
3696,365
3697,362
3698,706
3700,716
3701,1287
3702,1284
3703,1290
3704,418
3705,423
3706,423
3707,11505
3708,11509
3709,11520
3710,11608
3711,11611
3712,10904
3713,11029
3714,11090
3715,11041
3716,872
3717,867
3718,874
3719,878
3720,910
3721,879
3722,718
3723,720
3724,746
3725,1331
3726,1331
3727,1336
3728,451
3729,451
3730,455
3731,470
3732,471
3733,471
3734,1711
3735,1711
3737,11740
3738,11748
3739,11773
3740,11453
3741,11457
3742,10384
3743,11589
3744,12005
3745,12008
3746,833
3747,834
3748,844
3749,1066
3750,1066
3751,1071
3755,344
3756,342
3757,346
3758,1606
3759,1549
3760,1604
3761,389
3762,389
3763,381
3764,939
3765,405
3766,408
3767,1166
3768,1168
3769,1171
3770,1482
3771,1483
3772,1484
3773,1622
3774,1623
3775,518
3776,532
3777,534
3778,545
3779,542
3780,312
3781,312
3782,305
3783,563
3784,567
3785,596
3786,596
3787,611
3788,261
3789,259
3790,259
3791,11709
3792,11707
3793,11721
3794,11631
3795,11625
3796,11640
3797,580
3798,580
3799,578
3800,666
3801,668
3802,667
3803,685
3804,696
3805,709
3806,11986
3807,11987
3808,727
3809,703
3810,703
3811,287
3812,283
3813,277
3814,269
3815,10419
3816,11322
3817,11361
3818,11236
3819,11213
3820,11241
3821,11317
3822,11315
3823,827
3824,11829
3825,11873
3826,11834
3827,765
3828,781
3829,776
3830,903
3831,903
3832,902
3833,369
3834,921
3835,925
3836,1235
3837,1232
3838,1237
3839,1215
3840,1214
3841,1221
3842,1298
3843,1310
3844,1301
3845,1677
3846,1677
3847,1679
3848,1698
3849,1698
3850,489
3851,495
3852,495
3853,494
3854,1704
3855,1704
3856,499
3857,1365
3858,441
3859,440
3860,427
3861,424
3862,427
3863,10703
3864,10723
3865,10740
3866,10234
3867,10323
3868,10263
3869,10203
3870,10503
3871,10522
3872,891
3873,888
3874,889
3875,896
3876,883
3877,884
3878,293
3879,750
3880,758
3881,751
3882,753
3883,755
3884,1523
3885,1524
3886,1530
3887,447
3888,449
3889,449
3890,461
3891,461
3892,461
3893,1447
3894,1446
3895,1448
3896,11779
3897,11771
3898,11783
3899,11784
3900,11786
3901,11557
3902,808
3903,11558
3904,11590
3905,846
3906,848
3907,1065
3908,842
3909,851
3910,1064
3911,1064
3912,1068
3913,1068
3914,327
3915,326
3916,329
3917,326
3918,322
3919,343
3920,343
3921,344
3922,344
3923,1612
3924,1605
3925,1605
3926,1558
3927,1558
3928,1560
3929,380
3930,380
3931,380
3932,1119
3933,1118
3934,1138
3935,414
3936,966
3937,965
3938,1417
3939,1411
3940,1415
3941,1435
3942,1426
3943,1430
3944,313
3945,316
3946,597
3947,599
3948,603
3949,607
3950,625
3951,256
3952,632
3953,11729
3954,11727
3955,11620
3956,11635
3957,11636
3958,12025
3959,581
3960,578
3961,583
3962,657
3963,658
3964,657
3965,674
3966,670
3967,672
3968,683
3969,683
3970,686
3971,689
3972,688
3973,697
3974,11891
3975,728
3976,11898
3977,743
3978,740
3979,739
3980,11911
3981,265
3982,266
3983,11390
3984,11393
3985,11430
3986,11367
3987,11304
3988,11320
3989,11318
3990,11321
3991,11801
3992,11857
3993,11834
3994,797
3995,914
3996,361
3997,355
3998,368
3999,375
4000,358
4001,354
4002,357
4003,944
4004,1346
4005,1345
4006,1351
4007,1687
4008,1691
4009,1687
4010,465
4011,464
4012,466
4013,509
4014,498
4015,510
4016,1141
4017,1144
4018,1144
4019,435
4020,435
4021,434
4022,1371
4023,1371
4024,1374
4025,1470
4026,1475
4027,1477
4028,1475
4029,1485
4030,1494
4031,1490
4032,1491
4033,1497
4034,594
4035,251
4036,255
4037,264
4038,254
4039,262
4040,627
4041,262
4042,627
4043,626
4044,629
4045,636
4046,619
4047,620
4048,11468
4049,620
4050,661
4051,11597
4052,11500
4053,11599
4054,11615
4055,661
4056,660
4057,12012
4058,659
4059,11935
4060,11959
4061,11613
4062,11983
4063,12001
4064,10328
4065,10927
4066,10942
4067,10920
4068,11151
4069,11127
4070,11096
4071,11133
4072,11173
4073,11814
4074,11814
4075,871
4076,11816
4077,11821
4078,877
4079,868
4080,876
4081,881
4082,11824
4083,814
4084,877
4085,815
4086,818
4087,907
4088,907
4089,906
4090,915
4091,915
4092,915
4093,364
4094,929
4095,931
4096,931
4097,716
4098,715
4099,719
4100,715
4101,722
4102,723
4103,747
4104,747
4105,748
4106,1326
4107,1327
4108,1327
4109,1335
4110,1334
4111,1334
4112,1541
4113,1536
4114,1541
4115,452
4116,450
4117,458
4118,468
4119,489
4120,468
4121,492
4122,485
4123,478
4124,471
4125,494
4126,494
4127,1712
4128,1710
4129,1712
4130,1710
4131,1710
4132,1714
4133,1713
4134,1715
4135,1715
4136,1458
4137,1460
4138,1450
4139,636
4140,636
4141,640
4142,640
4143,11739
4144,11775
4145,638
4146,638
4147,639
4148,11730
4149,11733
4150,11744
4151,11749
4152,11752
4153,11454
4154,11642
4155,11451
4156,11460
4157,11443
4158,11441
4159,10367
4160,10359
4161,10379
4162,10441
4163,11786
4164,11564
4165,11571
4166,11579
4167,11394
4168,11405
4169,11586
4170,11581
4171,12003
4172,809
4173,831
4174,831
4175,829
4176,836
4177,839
4178,853
4179,852
4180,853
4181,855
4182,854
4183,854
4184,863
4185,864
4186,864
4187,996
4188,997
4189,1001
4190,325
4191,324
4192,323
4193,337
4194,336
4195,333
4196,1042
4197,1043
4198,1043
4199,1532
4200,1533
4201,1535
4202,1528
4203,1528
4204,1528
4205,1549
4206,1551
4207,1551
4208,1634
4209,1712
4210,1712
4211,1067
4212,1069
4213,387
4215,382
4216,386
4217,1071
4218,1070
4219,390
4220,381
4221,381
4222,379
4223,931
4224,931
4225,940
4226,1095
4227,942
4228,1096
4229,936
4230,934
4231,933
4232,399
4233,949
4234,949
4235,408
4236,413
4237,413
4238,1224
4239,1225
4240,1225
4241,1258
4242,1258
4243,1259
4244,1260
4245,1259
4246,1261
4247,1160
4248,1161
4249,1163
4250,1511
4251,1509
4252,1514
4253,426
4254,429
4255,1399
4256,419
4257,432
4258,1405
4259,1378
4260,1377
4261,1381
4262,1413
4263,1407
4264,1407
4265,1437
4266,1436
4267,1438
4268,1565
4269,1575
4270,1577
4271,1577
4272,1576
4273,1419
4274,1572
4275,1520
4276,1586
4277,1620
4278,1620
4279,1619
4280,1587
4281,1592
4282,1592
4283,1594
4284,1628
4285,514
4286,1643
4287,518
4288,522
4289,512
4290,514
4291,520
4292,525
4293,527
4294,529
4295,533
4296,533
4297,534
4298,538
4299,537
4300,539
4301,545
4302,545
4303,547
4304,545
4305,547
4306,546
4307,590
4308,585
4309,584
4310,552
4311,551
4312,555
4313,554
4314,303
4315,307
4316,313
4317,310
4318,315
4319,303
4320,557
4321,560
4322,561
4323,580
4324,579
4325,569
4326,567
4327,596
4328,562
4329,582
4330,582
4331,595
4332,616
4333,618
4334,249
4335,246
4336,253
4337,11693
4338,11693
4339,11696
4340,11701
4341,11699
4342,11727
4343,11698
4344,11684
4345,11686
4346,11685
4347,11476
4348,11470
4349,11691
4350,11479
4351,11548
4352,11619
4353,12020
4354,11622
4355,10641
4356,10681
4357,10695
4358,10664
4359,10671
4360,10872
4361,573
4362,573
4363,574
4364,572
4365,570
4366,577
4367,642
4368,642
4369,642
4370,641
4371,646
4372,645
4373,643
4374,645
4375,645
4376,577
4377,643
4378,668
4379,665
4380,662
4381,664
4382,663
4383,664
4384,11917
4385,648
4386,650
4387,647
4388,651
4389,652
4390,652
4391,680
4392,680
4393,691
4394,695
4395,692
4396,704
4397,11937
4398,11923
4399,11973
4400,701
4401,700
4402,700
4403,730
4404,730
4405,744
4406,708
4407,705
4408,714
4409,288
4410,299
4411,292
4412,737
4413,287
4414,284
4415,297
4416,293
4417,761
4418,279
4419,761
4420,759
4421,10131
4422,11664
4423,10457
4424,10466
4425,10578
4426,10624
4427,11347
4428,11265
4429,11251
4430,10592
4431,10596
4432,10599
4433,11165
4434,11860
4435,11828
4436,11224
4437,11827
4438,11844
4439,11274
4440,11280
4441,11312
4442,11848
4443,11854
4444,11855
4445,816
4446,817
4447,817
4448,11878
4449,11888
4450,11874
4451,11870
4452,766
4453,766
4454,769
4455,769
4456,775
4457,271
4458,270
4459,270
4460,371
4461,370
4462,373
4463,905
4464,904
4465,921
4466,901
4467,1011
4468,918
4469,921
4470,916
4471,923
4472,376
4473,954
4474,954
4475,1229
4476,1228
4477,1229
4478,1228
4479,1227
4480,1227
4481,1239
4482,1244
4483,1248
4484,1206
4485,1203
4486,1211
4487,1673
4488,1672
4489,1673
4490,1310
4491,1309
4492,1314
4493,1305
4494,447
4495,447
4496,1357
4497,1361
4498,1362
4499,1691
4500,1692
4501,1694
4502,1696
4503,1696
4504,1696
4505,486
4506,487
4507,475
4508,473
4509,496
4510,495
4511,496
4514,501
4515,504
4516,501
4517,503
4518,499
4519,510
4520,10831
4521,10843
4522,10850
4523,416
4524,420
4525,433
4526,11510
4527,11517
4528,11518
4529,11607
4530,12014
4531,11617
4532,11003
4533,11038
4534,11032
4535,11739
4536,11739
4537,11773
4538,323
4540,320
4541,314
4542,566
4543,567
4544,261
4545,257
4546,257
4547,11724
4548,11711
4549,11712
4550,11633
4551,12023
4552,11640
4553,11990
4554,11989
4555,727
4556,735
4557,736
4558,736
4559,267
4560,267
4561,269
4562,10422
4563,10404
4564,10416
4565,11236
4566,11237
4567,11240
4568,11832
4569,11833
4570,11837
4571,1677
4572,1677
4573,1680
4574,10706
4575,10711
4576,10729
4577,10238
4578,10254
4579,10250
4580,10475
4581,10479
4582,10515
4583,893
4584,895
4585,899
4586,329
4587,330
4588,330
4589,1438
4590,1434
4591,1434
4592,625
4593,625
4594,630
4595,689
4596,687
4597,697
4598,11894
4599,11896
4600,11895
4601,11402
4602,11422
4603,11425
4604,11371
4605,11306
4606,11320
4607,11789
4608,11790
4609,11811
4610,364
4611,360
4612,364
4613,350
4614,368
4615,351
4616,1492
4617,1491
4618,1498
4619,11478
4620,11466
4621,11490
4622,10269
4623,10270
4624,10274
4625,11595
4626,12011
4627,12012
4628,12009
4629,11933
4630,11959
4631,11997
4632,11996
4633,11998
4634,10337
4635,10934
4636,10936
4637,11078
4638,11084
4639,11125
4640,11199
4641,11171
4642,11159
4643,450
4644,450
4645,450
4646,492
4647,493
4648,493
4649,1713
4650,1713
4651,1714
4652,11731
4653,11731
4654,11744
4655,11767
4656,11768
4657,11768
4658,11451
4659,11451
4660,11459
4661,11462
4662,11464
4663,11465
4664,11556
4665,11565
4666,11566
4667,11577
4668,11580
4669,11580
4670,840
4671,837
4672,841
4673,326
4674,324
4675,319
4676,338
4677,332
4678,334
4679,393
4680,393
4681,384
4682,388
4683,386
4684,386
4685,1071
4686,1070
4687,390
4688,397
4689,397
4690,402
4691,1512
4692,1509
4693,1513
4694,512
4695,511
4696,521
4697,552
4698,555
4699,555
4700,554
4701,304
4702,307
4703,313
4704,313
4705,316
4706,249
4707,248
4708,252
4709,11620
4710,11622
4711,11622
4712,10643
4713,10687
4714,10686
4715,10887
4716,10891
4717,10879
4718,11946
4719,11972
4720,11971
4721,740
4722,737
4723,281
4724,280
4725,280
4726,759
4727,10121
4728,10129
4729,10111
4730,10474
4731,10634
4732,10640
4733,11343
4734,11346
4735,11375
4736,10595
4737,10603
4738,10608
4739,11206
4740,11206
4741,11207
4742,11228
4743,11842
4744,11847
4745,11289
4746,11280
4747,11302
4748,820
4749,822
4750,823
4751,917
4752,920
4753,917
4754,1228
4755,1228
4756,1230
4757,1695
4758,1696
4759,1696
4760,486
4761,487
4762,490
4763,479
4764,481
4765,495
4766,10779
4767,10756
4768,10766
4769,10713
4770,10715
4771,10215
4772,10217
4773,10224
4774,10160
4775,614
4776,613
4777,620
4778,11908
4779,11909
4780,11914
4781,11906
4782,11904
4783,11911
4784,11433
4785,11425
4786,11436
4787,11435
4788,11373
4789,11787
4790,364
4791,364
4792,365
4793,365
4794,352
4795,362
4796,362
4797,362
4798,362
4799,1286
4800,1284
4801,1288
4802,444
4803,434
4804,418
4805,11481
4806,11492
4807,11507
4808,11493
4809,11493
4810,11500
4811,11522
4812,11523
4813,11521
4814,11603
4815,12013
4816,11609
4817,11611
4818,11594
4819,11612
4820,11611
4821,11999
4822,11999
4823,10997
4824,10959
4825,11026
4826,11103
4827,11071
4828,11091
4829,11179
4830,11180
4831,11196
4832,455
4833,451
4834,456
4835,11758
4836,11760
4837,11772
4838,11453
4839,11460
4840,11461
4841,11457
4842,11458
4843,10359
4844,11560
4845,12006
4846,11584
4847,11573
4848,11586
4849,12005
4850,833
4851,829
4852,834
4853,844
4854,844
4855,844
4856,340
4857,341
4858,346
4859,342
4860,339
4861,339
4862,1549
4863,1549
4864,1549
4865,389
4866,389
4867,389
4868,405
4869,405
4870,408
4871,1166
4872,1169
4873,1170
4874,542
4875,555
4876,555
4877,305
4878,560
4879,559
4880,254
4881,241
4882,260
4883,244
4884,253
4885,259
4886,11699
4887,11703
4888,11705
4889,11704
4890,11692
4891,11691
4892,11714
4893,11715
4894,11720
4895,11622
4896,12022
4897,11634
4898,11623
4899,10690
4900,11626
4901,11639
4902,11644
4903,11644
4904,11978
4905,11978
4906,11988
4907,11977
4908,11977
4909,726
4910,278
4911,274
4912,267
4913,274
4914,279
4915,276
4916,267
4917,280
4918,269
4919,10113
4920,10461
4921,10451
4922,11672
4923,10101
4924,11329
4925,11358
4926,11333
4927,11355
4928,10621
4929,10623
4930,10623
4931,11212
4932,11216
4933,11214
4934,11237
4935,11239
4936,11241
4937,11316
4938,11314
4939,11314
4940,11314
4941,11313
4942,824
4943,488
4944,488
4945,491
4946,1370
4947,442
4948,424
4949,443
4950,443
4951,417
4952,425
4953,415
4954,429
4955,11533
4956,11532
4957,10721
4958,11527
4959,10277
4960,10287
4961,10718
4962,10247
4963,10242
4964,10281
4965,10296
4966,10305
4967,10293
4968,11618
4969,10316
4970,10257
4971,10339
4972,10974
4973,10493
4974,10490
4975,10478
4976,10999
4977,10988
4978,10969
4979,10520
4980,10533
4981,10528
4982,887
4983,882
4984,896
4985,447
4986,456
4987,449
4988,326
4989,319
4990,322
4991,319
4992,321
4993,330
4994,330
4995,337
4996,343
4997,343
4998,340
